电影名,导演,编剧,演员,类型,电影时长(分钟),上映时间(年),评分,票房,发行公司,制片公司
无处的男孩 Nowhere Boy,萨姆·泰勒·约翰逊,"马特·格林哈尔什,茱莉亚·拜尔德   Julia Baird","克里斯汀·斯科特·托马斯,亚伦·泰勒-约翰逊,托马斯·布罗迪-桑斯特,大卫·莫瑞瑟,安-玛莉·杜芙",剧情,98,2009,7.5,0.0,暂无发行公司,暂无制片公司
赛德克·巴莱(下)：彩虹桥 賽德克·巴萊(下)彩虹橋,魏德圣,魏德圣,"马志翔,徐若瑄,温岚,田中千绘,林庆台,安藤政信,徐诣帆",剧情,132,2011,8.8,0.0,暂无发行公司,暂无制片公司
乳白星路 The Milky Way,鲁道夫·伊辛,Bernice Hansen,Bernice Hansen,喜剧,8,1940,7.2,0.0,暂无发行公司,暂无制片公司
荒岛余生 Cast Away,罗伯特·泽米吉斯,小威廉·保尔斯,"汤姆·汉克斯,海伦·亨特,克里斯·诺斯,尼克·瑟西",剧情,143,2000,8.6,0.0,暂无发行公司,暂无制片公司
战国洛克：疾风女人们 戦国ロック 疾風の女たち,长谷部安春,"大和屋竺,藤井鹰史","田中真理,続圭子",动作,79,1972,5.6,0.0,暂无发行公司,暂无制片公司
午夜凶铃3：贞相大白 リング0 バースデイ,鹤田法男,铃木光司,"仲间由纪惠,麻生久美子,田边诚一,矢野浩二",剧情,99,2000,6.7,0.0,暂无发行公司,暂无制片公司
他们是神 Lo chiamavano Trinità...,恩佐·巴博尼,恩佐·巴博尼,"特伦斯·希尔,布德·斯藩塞,斯特芬·扎哈里亚斯,丹·斯图基",喜剧,113,1970,7.3,0.0,暂无发行公司,暂无制片公司
兵临城下之决战要塞 Брестская Крепость,亚历山大·科特,"Aleksey Dudarev,Ekaterina Tirdatova,Konstantin Vorobiov,Vladimir Yeryomin","安德烈·梅尔兹利金,叶甫盖尼·齐加诺夫,帕维尔·杰列维扬科,Anna Tsukanova,阿列沙·嘉博索夫,Veronika Nikonova,阿纳托利·科特",剧情,138,2012,7.8,0.0,暂无发行公司,暂无制片公司
我们曾是战士 We Were Soldiers,兰道尔·华莱士,兰道尔·华莱士,"梅尔·吉布森,格雷戈·金尼尔,玛德琳·斯托,山姆·艾里奥特,凯丽·拉塞尔,克里斯·克莱因,巴里·佩珀",剧情,138,2002,7.6,0.0,暂无发行公司,暂无制片公司
牛仔和外星人 Cowboys & Aliens,乔恩·费儒,"罗伯托·奥奇,艾里克斯·库兹曼,达蒙·林德洛夫,马克·弗格斯,霍克·奥斯比,史蒂夫·欧德科克,Scott Mitchell Rosenberg","丹尼尔·克雷格,哈里森·福特,奥利维亚·王尔德,山姆·洛克威尔,保罗·达诺",动作,118,2011,5.7,0.0,暂无发行公司,暂无制片公司
碟中谍 Mission: Impossible,布莱恩·德·帕尔玛,"大卫·凯普,罗伯特·汤,斯蒂文·泽里安,布鲁斯·盖勒","汤姆·克鲁斯,强·沃特,艾曼纽·贝阿,亨利·科泽尼,让·雷诺,文·瑞姆斯,克里斯汀·斯科特·托马斯,瓦妮莎·雷德格瑞夫,茵格保加·达坤耐特,瓦伦蒂娜·雅库尼亚,马雷克·瓦苏特,Nathan Osgood,John McLaughlin,罗尔夫·萨克森,卡雷尔·多布雷,安德雷斯·魏斯涅夫斯基,Gaston Subert,里科·罗斯,Bob Friend,安娜贝尔·穆利恩,加里克·哈根,Jirina Trebická,山姆·道格拉斯,奥莱加·费多罗,大卫·施奈德,海伦·林赛,兰德尔·保罗,迈克尔·罗杰斯,劳拉·布鲁克,梅丽莎·纳奇布尔,扬·卡拉米特鲁,代尔·戴,马塞尔·尤勒斯,基思·坎贝尔,艾米利奥·艾斯特维兹,哈里·弗雷德尔,约翰·诺尔",动作,110,1996,8.1,0.0,暂无发行公司,暂无制片公司
新龙门客栈 新龍門客棧,李惠民,"徐克,张炭,吕晓禾,司徒慧焯,何冀平,苏叔阳","张曼玉,林青霞,梁家辉,甄子丹,熊欣欣,刘洵,任世官,吴启华,袁祥仁,徐锦江,郑希怡,王彤川,王伟顺,蔡浩",动作,88,1992,8.6,0.0,暂无发行公司,暂无制片公司
"你好妈妈，再见！ 하이바이, 마마!",柳济元,权惠珠,"金泰熙,李奎炯,高甫洁,申东美,金美京,安内相,潘孝贞,吴义植,裴海善",剧情,120,2020,8.7,0.0,暂无发行公司,暂无制片公司
美丽心灵 A Beautiful Mind,朗·霍华德,"阿齐瓦·高斯曼,西尔维娅·纳萨尔","罗素·克劳,艾德·哈里斯,詹妮弗·康纳利,克里斯托弗·普卢默,保罗·贝坦尼,亚当·戈德堡,乔什·卢卡斯,安东尼·拉普,贾森·加里-斯坦福德,贾德·赫希,奥斯汀·潘德尔顿,薇薇·卡登尼,吉莉·西蒙,维克多·斯坦巴赫,坦娅·克拉克,罗伊·辛尼斯,谢丽尔·霍华德,兰斯·霍华德,简·詹金斯,乔什·帕斯,瓦伦蒂娜·卡迪纳利,蒂格尔·F·伯格里,迈克尔·埃斯佩尔,艾米·瓦尔兹,小艾德.朱普,卡拉·奥奇格罗索,斯特里奥·萨万特,迈克尔·阿伯特,雷吉·奥斯汀,凯德·比特纳,理查·布莱恩特,丹·陈,乔纳·福尔肯,法布里奇奥·范特,斯科特·费恩斯特罗姆,迈克尔·菲奥里,塞斯·盖贝尔,埃文·哈特,杰森·霍顿,布莱丝·达拉斯·霍华德,朗·霍华德,多里·曼佐尔,罗伯特·迈尔斯,里德·彭尼,米尔斯·彼埃尔,肖恩·里德",剧情,135,2001,9.0,0.0,暂无发行公司,暂无制片公司
我是李小龙 I Am Bruce Lee,Pete McCormack,"Daniele Bolelli,Paul Bowman,Richard Bustillo","Daniele Bolelli,Paul Bowman,Richard Bustillo",剧情,94,2012,8.0,0.0,暂无发行公司,暂无制片公司
从前有座灵剑山2 霊剣山 叡智への資格,西泽晋,西泽晋,"代永翼,山口由里子,中村绘里子,西田雅一,畑中万里江,郝祥海,黎筱濛,C小调,天悬星河,阎萌萌",动画,120,2017,6.1,0.0,暂无发行公司,暂无制片公司
那些年，我们一起追的女孩 那些年，我們一起追的女孩,九把刀,九把刀,"柯震东,陈妍希,敖犬,郝劭文,蔡昌宪,侯彦西,弯弯,邱彦翔,王彩桦,柯义浤,黄逸祥,李凤新,黄柏钧,赖雅妍,高丽红,李维维,严艺文,蔡武雄",剧情,110,2011,8.1,0.0,暂无发行公司,暂无制片公司
精灵旅社2 Hotel Transylvania 2,格恩迪·塔塔科夫斯基,"罗伯特·斯密戈尔,亚当·桑德勒,托德·杜伦","亚当·桑德勒,安迪·萨姆伯格,赛琳娜·戈麦斯,阿什·布林克夫,凯文·詹姆斯,大卫·斯佩德,史蒂夫·布西密,科甘-迈克尔·凯,莫莉·香侬,梅尔·布鲁克斯,法兰·德瑞雪,梅根·莫拉莉,尼克·奥弗曼,达纳·卡维,罗伯·里格尔,尼克·斯旺森,乔尼·所罗门,克里斯·卡坦,莎蒂·桑德勒,珊妮·桑德勒,乔恩·拉威茨,罗伯特·斯密戈尔,罗斯·阿卜杜,路奈尔·坎贝尔,杰瑞德·桑德勒,保罗·布里顿,克里斯·帕内尔,艾伦·卡瓦特",喜剧,89,2015,7.7,0.0,暂无发行公司,暂无制片公司
古镜怪谈 怪談之魔鏡,刘晓光,黄百鸣,"谢霆锋,林心如,傅芳玲,罗兰,梁智强,黄百鸣,徐帆,姚乐怡,钟耀南,何嘉莉,汤宝如",剧情,87,1999,5.8,0.0,暂无发行公司,暂无制片公司
同志圣诞节 Make the Yuletide Gay,罗伯·威廉姆斯,罗伯·威廉姆斯,"Keith Jordan,Adamo Ruggiero,Hallee Hirsh",喜剧,89,2009,7.2,0.0,暂无发行公司,暂无制片公司
致命弯道 Wrong Turn,罗布·施密特,Alan B. McElroy,"戴斯蒙德·哈灵顿,艾丽莎·杜什库,埃曼纽尔·施莱琪,杰瑞米·西斯托,凯文·席格斯,林蒂·布丝,朱利安·瑞钦斯,韦恩·罗布森",恐怖,84,2003,6.6,0.0,暂无发行公司,暂无制片公司
