电影名,导演,编剧,演员,类型,电影时长(分钟),上映时间(年),评分,票房,发行公司,制片公司
角斗士 Gladiator,雷德利·斯科特,"大卫·弗兰佐尼,约翰·洛根,威廉姆·尼克尔森","罗素·克劳,华金·菲尼克斯,康妮·尼尔森,奥列佛·里德,理查德·哈里斯,德里克·雅各比,杰曼·翰苏,大卫·斯科菲尔德,约翰·斯拉普内尔,托马斯·阿拉纳,拉尔夫·莫勒,斯宾塞·崔特·克拉克,戴维·海明斯,汤米·弗拉纳根,史文-欧尔·托尔森,欧米德·吉亚李利,Chris Kell,托尼·库兰,大卫·拜利,艾尔·阿什顿,Ray Calleja,詹妮娜·法西奥,乔治·坎塔里尼,阿兰·柯德勒,Michael Mellinger,亚当·利维,吉力·吉尔克里斯特,Kjeld Gogosha-Clark,尼克·梅因,若昂·科斯塔·梅内塞斯,迈克·米切尔,Norman Campbell Rees,布瑞恩·斯米吉",剧情,155,2000,8.5,0.0,暂无发行公司,暂无制片公司
外出就餐3：饕餮自助 Eating Out 3: All You Can Eat,葛伦·盖洛,"菲利普·J·巴特尔,亚伦·布洛卡","利百加·科汉,克里斯·萨尔瓦多,迈克尔E.R.沃克,敏科·斯荳,莱斯利·乔丹,素玛立·蒙塔诺,丹尼尔·史柯顿,Julia Cho,John Stallings,Maximiliano Torandell,Cristina Balmores,Rick D'Agostino,塔比瑟泰勒,Greg McKeon,Ryan Adames",喜剧,80,2009,6.6,0.0,暂无发行公司,暂无制片公司
蝴蝶效应2 The Butterfly Effect 2,约翰·R·莱昂耐迪,Michael D. Weiss,"埃里克·里夫利,埃莉卡·杜兰斯,达斯汀·米利甘,吉娜·赫尔顿,林赛·麦克斯维尔",剧情,92,2006,6.1,0.0,暂无发行公司,暂无制片公司
铁血柔情 Love Me Tender,罗伯特·D·韦布,"莫里斯·杰拉蒂,罗伯特·巴克纳","Richard Egan,Debra Paget,Elvis Presley",剧情,89,1956,7.2,0.0,暂无发行公司,暂无制片公司
冰川时代 Ice Age,卡洛斯·沙尔丹哈,"迈克尔·伯格 ,迈克尔·J·威尔森,彼得·阿克曼","雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞,杰克·布莱克",喜剧,81,2002,8.6,0.0,暂无发行公司,暂无制片公司
危情雪夜,陈国星,郝建,"陶泽如,吴越,高明,何冰,马伊琍,张涵予",剧情,84,2004,5.9,0.0,暂无发行公司,暂无制片公司
李尔王 Great Performances: King Lear,特雷弗·纳恩,莎士比亚,"伊恩·麦克莱恩,菲利普·文切斯特,弗兰西斯·巴贝,莫妮卡·杜兰,萝玛拉·嘉瑞,西尔维斯特·迈可伊,乔纳森·海德,约翰·赫夫南,Ben Meyjes,威廉姆·格奥特,Guy Williams,Julian Harries,Russell Byrne,David Weston,Peter Hinton",剧情,150,2008,8.3,0.0,暂无发行公司,暂无制片公司
极限特工2 xXx: State of the Union,李·塔玛霍瑞,西蒙·金伯格,"艾斯·库珀,塞缪尔·杰克逊,威廉·达福,斯科特·斯比德曼,彼得·斯特劳斯,桑妮·马布雷,诺娜·加耶",动作,101,2005,6.6,0.0,暂无发行公司,暂无制片公司
大逃杀 バトル・ロワイアル,深作欣二,"深作健太,高见广春","藤原龙也,前田亚季,山本太郎,北野武,栗山千明,高冈奏辅,塚本高史,小谷幸弘,石川绘里,神谷凉,三村恭代,岛田礼,井上亚纪,松泽莲,本田博仁,新田亮,池田早矢加,永田杏奈,金泽祐香利,加藤操,日向瞳,石井里弥,金井爱砂美,花村怜美,柴田阳亮,乡志郎,增田裕生,广川茂树,三原珠纪,岛木智实,佐野泰臣,日下慎,西村豪起,山口森广,大西修,横道智,内藤淳一,木下统耶子,关口真衣,马场乔子,野见山晴可,岩村爱子,前田爱,美波,山村美智子,利根川寿寿花,诹访太朗,片冈礼子,谷口节,中井出健,深浦加奈子,宫村优子,柴崎幸,安藤政信,伊尔琳·菲茨杰拉德,斯蒂芬妮·社,John Snyder,斯派克·斯潘塞,Kaiji Tang,Julie Ann Taylor",剧情,114,2000,8.0,0.0,暂无发行公司,暂无制片公司
蜀山奇侠,萧笙,"林少枝,钟政良,吴玉章,曾广平","杨宝玲,李婉华,李丽丽,龚慈恩,关礼杰",爱情,120,1990,8.2,0.0,暂无发行公司,暂无制片公司
范海辛 Van Helsing,斯蒂芬·索莫斯,斯蒂芬·索莫斯,"休·杰克曼,凯特·贝金赛尔,理查德·劳斯伯格,大卫·文翰,舒勒·汉斯利,埃伦娜·安纳亚,威尔·坎普,凯文·J·奥康纳,艾伦·阿姆斯特朗,希薇娅·克洛卡,约希·麦兰,汤姆·费舍尔,萨缪尔·韦斯特,罗彼·考特拉尼,Stephen Fisher,Dana Moravková,马雷克·瓦苏特,Laurence Racine,马丁·科勒巴,Allison Queal",剧情,131,2004,7.1,0.0,暂无发行公司,暂无制片公司
三生三世枕上书,杨玄,"梁振华,胡雅婷,黄姗姗,何庆平","迪丽热巴,高伟光,陈楚河,郭品超,刘雨欣,刘芮麟,王骁,李东恒,袁雨萱,黄俊捷",剧情,120,2020,6.5,0.0,"上海腾讯企鹅影视文化传播有限公司 Shanghai Tencent Penguin Pictures Co.,Ltd","上海腾讯企鹅影视文化传播有限公司 Shanghai Tencent Penguin Pictures Co.,Ltd/嘉行星光(重庆)影视传媒有限公司 Jiaxing Guang (Chongqing) Film and Television Media Co., Ltd/北京金色池塘传媒股份有限公司 Beijing Jinse Chitang Media Co.,Ltd /华泽欣禧国际影视文化传媒（北京）有限公司 /旗帜（上海）数字传媒有限公司 Authrule（Shanghai） Digital Media Co.,Ltd"
芭啦芭啦樱之花,马楚成,陈淑贤,"郭富城,张柏芝,阿牛,韩雪,恬妞",剧情,101,2001,6.1,0.0,暂无发行公司,暂无制片公司
中国有嘻哈,车澈,岑俊义,"吴亦凡,张震岳,姚中仁,潘玮柏",音乐,120,2017,7.2,0.0,暂无发行公司,暂无制片公司
伟大的寂静 Il grande silenzio,赛尔乔·科尔布奇,"马里奥·阿门多拉,布鲁诺·科尔布奇,赛尔乔·科尔布奇,Vittoriano Petrilli","让-路易·特兰蒂尼昂,克劳斯·金斯基,弗兰克·沃尔夫",剧情,105,1968,7.5,0.0,暂无发行公司,暂无制片公司
茜茜公主2 Sissi - Die junge Kaiserin,恩斯特·马里施卡,恩斯特·马里施卡,"罗密·施奈德,卡尔海因茨·伯姆,玛格达·施奈德,古斯塔夫·克努特,威尔玛·德吉舍尔",剧情,107,1956,8.4,0.0,暂无发行公司,暂无制片公司
牧场之家好做伴 A Prairie Home Companion,罗伯特·奥特曼,加里森·凯勒尔,"梅丽尔·斯特里普,莉莉·汤姆林,伍迪·哈里森,琳赛·洛翰,汤米·李·琼斯,加里森·凯勒尔,凯文·克莱恩,维吉妮娅·马德森,约翰·C·赖利,玛娅·鲁道夫",剧情,105,2006,7.7,0.0,暂无发行公司,暂无制片公司
失忆风云 4Got10 (2015),Timothy Woodward Jr.,Sean Ryan,"约翰尼·梅辛纳,杜夫·龙格尔,丹尼·特雷霍",动作,84,2015,4.9,0.0,暂无发行公司,暂无制片公司
非常完美,金依萌,金依萌,"章子怡,范冰冰,何润东,苏志燮,姚晨,林心如,王姬",喜剧,107,2009,5.9,9198.7,中国电影集团公司 China Film Group Corporation,"韩国希杰娱乐株式会社 CJ Entertainment/北京太合环球影业投资有限公司 Beijing Taihe Huanqiu Pictures Investment Co.,Ltd"
疯狂的麦克斯3 Mad Max Beyond Thunderdome,乔治·米勒,"乔治·米勒,特里·海斯","梅尔·吉布森,蒂娜·特纳,亚当·科克伯恩,布鲁斯·斯宾斯,弗兰克·思林,Angelo Rossitto,Angry Anderson,罗伯特·格拉布,George Spartels,埃德温霍德曼",动作,107,1985,6.6,0.0,暂无发行公司,暂无制片公司
我是证人,安相勋,"顾小白,安相勋,尹昌业,崔民硕","杨幂,鹿晗,王景春,朱亚文,刘芮麟,赖艺,柴蔚,李溪芮",剧情,112,2015,6.2,21527.2,"北京光线影业有限公司 Beijing Enlight Pictures Co.,Ltd","新线索（北京）影视投资有限公司 New Clues Film Co.,Ltd./韩国望月人公司 MoonWatcher Co., Ltd/海宁嘉行天下影视文化有限公司 Haining Jiaxing Tianxia Entertainment Co.,Ltd/霍尔果斯青春光线影业有限公司 Khorgos Youth Enlight Pictures Co.,Ltd/上海聚力传媒技术有限公司 Shanghai Synacast Media Co.,Ltd/北京文传世纪文化传媒有限公司  Beijing Wenchuan Shiji Media Co.,Ltd/北京光线影业有限公司 Beijing Enlight Pictures Co.,Ltd/北京合力映画影视文化传媒有限公司 Beijing Heli Yinghua Entertainment Co.,Ltd /上海影球影视文化有限公司 Shanghai Yingqiu Entertainment Co.,Ltd"
人不彪悍枉少年,邓科,孙笑,"侯明昊,万鹏,张耀,代露娃,李明德,潘美烨,王森",剧情,120,2018,7.6,0.0,暂无发行公司,"上海腾讯企鹅影视文化传播有限公司 Shanghai Tencent Penguin Pictures Co.,Ltd/上海耀客传媒股份有限公司 Shanghai Youhug Media Co.,Ltd"
爱上艾略特 Doing Elliot,Noel Alejandro,Noel Alejandro,"Cyrill,Tristan",短片,21,2016,7.1,0.0,暂无发行公司,暂无制片公司
银魂 第二季 延长篇 銀魂' 延長戦,藤田阳一,"大和屋晓,横手美智子,下山健人,空知英秋","杉田智和,钉宫理惠,阪口大助,石田彰,中井和哉,高桥美佳子,雪野五月,折笠富美子,铃村健一,中村悠一",剧情,120,2012,9.6,0.0,暂无发行公司,暂无制片公司
暮光之城4：破晓(下) The Twilight Saga: Breaking Dawn - Part 2,比尔·康顿,斯蒂芬妮·梅耶,"克里斯汀·斯图尔特,罗伯特·帕丁森,泰勒·洛特纳,彼得·费辛利,伊莉莎白·里瑟,阿什丽·格林尼,杰克逊·拉斯波恩,凯南·鲁兹,妮基·瑞德,比利·伯克,查斯科·斯宾塞,麦肯吉·弗依,玛姬·格蕾斯,杰米·坎贝尔·鲍尔,克里斯托弗·赫耶达尔,麦克·辛,拉蒂夫·克劳德,丹尼尔·库德摩尔,查理·比尤利,达科塔·范宁,卡梅隆·布莱特,安德莉亚·鲍威尔,玛安娜·本灵,Casey LaBow,米娅·麦斯特罗,克里斯蒂安·卡玛戈,奥玛尔·梅特瓦利,安德里亚·加布里埃尔,安吉拉·萨拉弗安,拉米·马雷克,朱迪斯·沙克妮,约翰·爱德华·李,李·佩斯,比尔·坦拉蒂,托尼·特拉克斯,Erik Odom,瓦莱瑞·卡瑞,乔·安德森,古里·温伯格,诺尔·费舍,Amadou Ly,维德尔·皮尔斯,茱莉亚·琼斯,波波·斯图尔特,J.D.普拉多,克里斯蒂·柏克,吉尔·伯明翰,全知泰,莎拉·克拉克,祖蒂·弗兰,艾迪·盖瑟吉,凯姆·吉甘戴,凯欧瓦·高登,格雷厄姆·格林,泰森·豪斯曼,布莱丝·达拉斯·霍华德,安娜·肯德里克,婷塞尔·柯瑞,蕾切尔·勒费夫尔,亚历克斯·梅拉兹,布朗森·佩尔提埃,泽维尔·塞缪尔,克里斯蒂·瑟拉图斯,迈克·韦尔奇,保罗·贝克,泰勒·福雷斯特,约书亚·古铁雷斯",剧情,115,2012,6.9,0.0,暂无发行公司,暂无制片公司
莫娣 Maudie,艾斯林·沃什,谢丽·怀特,"莎莉·霍金斯,伊桑·霍克,卡瑞·玛切特,加布里埃尔·罗斯,扎卡里·贝内特,比利·麦克莱伦,劳伦斯·巴里,格雷戈·马龙,玛丝·伯纳德,大卫·菲恩,凯特·罗斯",剧情,115,2016,9.1,0.0,暂无发行公司,暂无制片公司
昆虫总动员2——来自远方的后援军 Minuscule 2 -  Les mandibules du bout du monde,海琳·吉罗,"海琳·吉罗,托马斯·绍博","布鲁诺·萨拉曼,蒂埃里·弗雷蒙,斯特凡·库隆,让·南加,萨拉·科恩-阿德里亚,让-保罗·居永,博·高缇耶·代·克莫尔,弗兰克·贝内克,吕克·莫文",动画,91,2019,8.3,0.0,暂无发行公司,暂无制片公司
平原上的夏洛克,徐磊,徐磊,"徐朝英,张占义,宿树合",剧情,98,2019,7.9,944.1,暂无发行公司,深圳一怡以艺文化传媒有限公司 
特洛耶·希文：安抚我 Troye Sivan: Talk Me Down,Tim Mattia,"Matthew Eriksson,特洛耶·希文","Matthew Eriksson,特洛耶·希文",短片,120,2015,9.4,0.0,暂无发行公司,暂无制片公司
铁齿铜牙纪晓岚,刘家成,"陈文贵,邹静之,郑万隆,王振潜,王琛,史航,顾言","张国立,王刚,张铁林,袁立,赵敏芬,杨丽菁,张春年",剧情,120,2001,8.3,0.0,暂无发行公司,暂无制片公司
宇宙星路 宇宙のステルヴィア,佐藤龙雄,"佐藤龙雄,大河内一楼,千叶克彦,小出克彦","野中蓝,水岛大宙,松冈由贵,折笠富美子,田中理惠,斋贺光希,上田祐司,陶山章央,广桥凉,丰口惠美,堀胜之祐,藤原启治,朴璐美,根谷美智子,桧山修之,笠原留美,岸尾大辅,田中正彦,进藤尚美,屋良有作,小杉十郎太",动画,120,2003,7.8,0.0,暂无发行公司,暂无制片公司
午夜巴塞罗那 Vicky Cristina Barcelona,伍迪·艾伦,伍迪·艾伦,"丽贝卡·豪尔,斯嘉丽·约翰逊,哈维尔·巴登,佩内洛普·克鲁兹,克里斯·梅西纳,派翠西娅·克拉克森,胡里奥·佩里兰",剧情,96,2008,7.8,0.0,暂无发行公司,暂无制片公司
笑傲江湖,黄健中,"李亚鹏,许晴,巍子,李解,茅威涛,苗乙乙,吕晓禾,涂们,刘冬,彭登怀,修宗迪,丛志军","李亚鹏,许晴,巍子,李解,茅威涛,苗乙乙,吕晓禾,涂们,刘冬,彭登怀,修宗迪,丛志军",剧情,112,2003,8.0,0.0,暂无发行公司,"华夏视听环球传媒（北京）股份有限公司 Cathay Media（Beijing）Co.,Ltd/于正（上海）影视文化工作室 Yu Zheng（Shanghai）Film &amp; TV Culture Studio /东阳星瑞影视文化传媒有限公司 Dongyang Xingrui Entertainment  Co.,Ltd"
巴黎小情歌 Les chansons d'amour,克里斯托夫·奥诺雷,克里斯托夫·奥诺雷,"路易·加瑞尔,露德温·塞尼耶,齐雅拉·马斯楚安尼,克洛蒂尔德·埃斯姆,格雷戈瓦·勒普兰斯-林盖",剧情,92,2007,7.4,0.0,暂无发行公司,暂无制片公司
龙虾刑警,李昕芸,"范氿维,鹿迅","王千源,袁姗姗,刘桦,周游,周云鹏,张锦程,沈腾",喜剧,93,2018,4.9,6879.1,"五洲电影发行有限公司 Wuzhou Film Distribution/万达影业（青岛）有限公司 Wanda Pictures（Qingdao）Co.,Ltd /华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd/上海淘票票影视文化有限公司 Shanghai Tao Piao Piao Entertainment Co.,Ltd ",大猫影视文化发展有限公司 Big Cat Films
楚门的世界 The Truman Show,彼得·威尔,安德鲁·尼科尔,"金·凯瑞,劳拉·琳妮,艾德·哈里斯,诺亚·艾默里奇,娜塔莎·麦克艾霍恩",剧情,103,1998,9.3,0.0,暂无发行公司,暂无制片公司
恋爱谈 연애담,李贤珠,李贤珠,"李尚熙,柳善英,朴根祿,林颂幂,金钟秀",剧情,99,2016,7.8,0.0,暂无发行公司,暂无制片公司
宫,李慧珠,于正,"杨幂,冯绍峰,佟丽娅,何晟铭,郭羡妮,刘雪华,邵美琪,汤镇业,吕佳容",剧情,120,2011,6.0,0.0,暂无发行公司,暂无制片公司
亚美尼亚大地震 Землетрясение,萨里·奥德赛耶,"格兰特·巴尔谢吉扬,阿森·达尼埃良","康斯坦丁·拉夫罗年科,玛丽亚·米罗诺娃,维克托·斯捷潘尼扬,塔特夫·欧夫基迈恩,米卡耶尔·波戈相,Michael Janibekyan,Sos Janibekyan,Armen Markaryan,Arevik Martirosyan,Asmik Aleksanyan,萨比娜·阿赫梅多娃,Mikael Aramyan,Marjan Avetisyan,阿尔焦姆·贝斯特罗夫,Arsen Grigoryan",剧情,101,2016,6.7,0.0,暂无发行公司,暂无制片公司
星球大战外传：侠盗一号 Rogue One: A Star Wars Story,加里斯·爱德华斯,"克里斯·韦兹,托尼·吉尔罗伊,约翰·诺尔,加里·维塔,乔治·卢卡斯","菲丽希缇·琼斯,迭戈·卢纳,甄子丹,本·门德尔森,麦斯·米科尔森,艾伦·图代克,福里斯特·惠特克,姜文,里兹·阿迈德,乔纳森·阿里斯,尤妮斯·奥卢米德,克莱尔·陈,吉米·斯密茨,沃维克·戴维斯,马克·普雷斯顿,吉娜薇·欧瑞丽,詹姆斯·厄尔·琼斯",动作,134,2017,7.3,0.0,暂无发行公司,暂无制片公司
终结者：创世纪 Terminator Genisys,阿兰·泰勒,"莱塔·卡罗格里迪斯,帕特里克·卢西尔,詹姆斯·卡梅隆,盖尔·安妮·赫德","阿诺·施瓦辛格,杰森·克拉克,艾米莉亚·克拉克,杰·科特尼,J·K·西蒙斯,戴奥·奥柯奈伊,马特·史密斯,考特尼·万斯,李秉宪,迈克尔·盖拉迪斯,何家蓓,韦恩·巴斯楚普,格雷戈里·艾伦·威廉斯,奥托·桑切斯,马蒂·费拉罗,格里夫·弗斯特,伊恩·埃瑟里奇,诺兰·格罗斯,塞思·梅里韦瑟,阿非莫·奥米拉,特瑞·韦伯,凯莉·奥马利",动作,126,2015,6.9,0.0,暂无发行公司,暂无制片公司
湖畔的陌生人 L'Inconnu du lac,阿兰·吉罗迪,阿兰·吉罗迪,"皮埃尔·德隆尚,克里斯多夫·帕欧,帕特里克·德阿萨姆曹,热罗姆·夏帕特,马蒂厄·佛菲马,吉尔伯特·特拉尼亚",剧情,100,2013,7.4,0.0,暂无发行公司,暂无制片公司
西游记之大圣归来,田晓鹏,"田晓鹏,刘虎,米粒,金冉,金成","张磊,林子杰,吴文伦,童自荣,刘九容,吴迪,刘北辰,赵乾景,周帅",剧情,89,2015,8.3,95656.9,北京聚合影联文化传媒有限公司,"北京燕城十月文化传播有限公司 Beijing Yancheng Shiyue Media Co.,Ltd/北京微影时代科技有限公司 Beijing Weiying Shidai Technology Co.,Ltd/天空之城文化创意有限公司 Tiankong Zhicheng/山东影视传媒集团有限公司 Shandong Film and TV Group Co.,Ltd/山东高路动画制作有限公司 Shandong Gaolu Animation Production Co.,Ltd/北京恭梓兄弟影视传媒有限公司 Gong Zi Brothers/世纪长龙影视有限公司 Century Great Dragon Co.,Ltd/龙行盛世影视文化工作室    Longxing Shengshi Entertainment Studio/淮安西游产业集团有限公司 Huaian Xiyou/浙江永康壹禾影视有限公司 Zhejiang Yongkang Yihoo/横店影视制作有限公司 HG Entertainment Co.,Ltd"
豪勇七蛟龙 The Magnificent Seven,约翰·斯特奇斯,威廉·罗伯茨,"尤·伯连纳,埃里·瓦拉赫,史蒂夫·麦奎因,查尔斯·布朗森,罗伯特·沃恩,布拉德·德克斯特,詹姆斯·柯本,霍斯特·布赫霍尔茨",动作,128,1960,7.5,0.0,暂无发行公司,暂无制片公司
大江东去 River of No Return,奥托·普雷明格,"Frank Fenton,Louis Lantz","罗伯特·米彻姆,玛丽莲·梦露",动作,91,1954,7.6,0.0,暂无发行公司,暂无制片公司
魔法黑森林 Into the Woods,罗伯·马歇尔,"詹姆斯·拉派恩,史蒂芬·桑德海姆","安娜·肯德里克,克里斯·派恩,约翰尼·德普,梅丽尔·斯特里普,艾米莉·布朗特,克里斯汀·芭伦斯基,詹姆斯·柯登,麦肯泽·茂兹,莉拉·克劳馥,丹尼尔·赫特斯通,比利·马格努森,崔茜·尤玛,弗朗西斯·德·拉·图瓦,西蒙·拉塞尔·比尔",喜剧,125,2014,5.9,0.0,暂无发行公司,暂无制片公司
如实陈述 본대로 말하라,金尚勋,"高英宰,韩基贤","张赫,崔秀英,京熙妍,李时媛,张铉诚,柳承秀,音文硕,夏成光",剧情,120,2020,7.1,0.0,暂无发行公司,暂无制片公司
鲨海逃生 47 Meters Down: Uncaged,约翰内斯·罗伯茨,"欧内斯特·里埃拉,约翰内斯·罗伯茨","尼娅·朗,约翰·考伯特,苏菲·奈丽丝,科琳·福克斯,戴维·桑托斯,布芮妮·邱,希斯蒂妮·史泰龙,卡林·拉姆博",惊悚,89,2020,5.2,0.0,暂无发行公司,暂无制片公司
银河补习班,邓超,俞白眉,"邓超,白宇,任素汐,王西,孙浠伦,李建义,梁超,邵兵,王戈,吴亚衡,魏尊,冯泽昂,吴京",剧情,147,2019,6.3,87837.9,天津猫眼微影文化传媒有限公司,"天津橙子映像传媒有限公司 Tianjin Chengzi Yingxiang Media Co.,Ltd   "
摇摆乐时代 Swing Time,乔治·史蒂文斯,"霍华德·林赛,艾伦·斯科特","弗雷德·阿斯泰尔,金杰·罗杰斯,维克托·摩尔,海伦·布罗德里克",喜剧,103,1936,7.7,0.0,暂无发行公司,暂无制片公司
沃伦 Wołyń,沃伊切赫·斯玛若夫斯基,沃伊切赫·斯玛若夫斯基,"米卡丽娜·拉巴克斯,阿尔卡迪乌什·雅库比克,沃西尔·沃西尔利克,阿德里安·扎仁巴,伊莎贝拉·库纳,雅采克·布拉茨亚克,玛丽亚·索博辛斯卡,奥列桑德·兹巴拉斯基,佛罗德米尔·普罗塔西尤克,奥维克桑德尔·彻舍洛夫,莱赫·德布里克,罗曼·斯勾勒斯基,扎卡尔杰斯斯·马斯齐因斯基,米哈尔·加多姆斯基,加布里埃拉·穆斯卡拉,托马什·萨普里克",剧情,150,2016,8.3,0.0,暂无发行公司,暂无制片公司
当你沉睡时 당신이 잠든 사이에,吴庆焕,朴慧莲,"李钟硕,裴秀智,李相烨,丁海寅,高圣熙,申在河,张铉诚,黄英熙,崔元英,朴真珠,南多凛,金元海,严孝燮,金所泫,李圣经,尹均相,吕会铉,闵成旭,裴海善,高宇临",爱情,120,2017,8.2,0.0,暂无发行公司,暂无制片公司
末日崩塌 San Andreas,布拉德·佩顿,"卡尔顿·库斯,安德烈·法布里齐奥,杰里米·帕斯莫尔","道恩·强森,亚历珊德拉·达达里奥,卡拉·古奇诺,雨果·约翰斯通-伯特,雅奇·潘嘉比,科尔顿·海恩斯,艾恩·格拉法德,保罗·吉亚玛提,凯莉·米洛,李威尹,瓦内萨·罗斯,马特·杰拉德,阿特·帕金森,罗宾·阿特金·唐斯,艾伦·D·柏温,亚历克·乌特戈夫,摩根·格莉芬,杰米斯·巴特勒,艾伦·波普尔顿",动作,114,2015,7.0,0.0,暂无发行公司,暂无制片公司
布卢明顿 Bloomington,Fernanda Cardoso,Fernanda Cardoso,"Sarah Stouffer,Allison McAtee,Katherine Ann McGregor",剧情,82,2010,7.3,0.0,暂无发行公司,暂无制片公司
血肉之躯 Warm Bodies,乔纳森·莱文,"乔纳森·莱文,艾萨克·马里昂","尼古拉斯·霍尔特,泰莉莎·帕尔墨,约翰·马尔科维奇,戴夫·弗兰科,安娜丽·提普顿,罗伯·考德瑞,科里·哈德里克",喜剧,98,2013,7.4,0.0,暂无发行公司,暂无制片公司
维多利亚 第一季 Victoria Season 1,奥利弗·布莱克本,"戴西·古德温,A·N·威尔森","珍娜·科尔曼,卢夫斯·塞维尔,凯瑟琳·弗莱明,保罗·瑞斯,彼得·弗斯,汤姆·休斯,大卫·奥克斯,汤米·奈特,伊芙·迈勒斯,阿历克斯·杰宁斯,安德鲁·比克内尔,理查德·迪克森,彼得·鲍勒斯",剧情,120,2016,8.3,0.0,暂无发行公司,暂无制片公司
食人鱼3DD Piranha 3DD,约翰·古拉格,"马库斯·邓斯坦,帕特里克·梅尔顿","丹妮尔·帕娜贝克,马特·布什,Chris Zylka,大卫·科恩查内,Meagan Tandy,Paul James Jordan,让-卢克·比洛多,赫克特·吉门雷兹,Adrian Martinez,克鲁·古拉格,大卫·哈塞尔霍夫",喜剧,83,2012,4.6,0.0,暂无发行公司,暂无制片公司
雨人 Rain Man,巴瑞·莱文森,"罗纳德·巴斯,巴里·莫罗","达斯汀·霍夫曼,汤姆·克鲁斯,瓦莱丽亚·戈利诺,邦尼·亨特",剧情,133,1988,8.7,0.0,暂无发行公司,暂无制片公司
曼蒂 Mandy,帕诺斯·科斯马图斯,"帕诺斯·科斯马图斯,亚伦·斯图尔特-安","尼古拉斯·凯奇,安德丽娅·赖斯伯勒,莱纳斯·罗彻,奈德·丹内利,欧文·弗热瑞,理查德·布雷克,比尔·杜克,兰恩·皮雷,克莱蒙·马霍内,亚历克西斯·朱蒙特",动作,121,2018,5.4,0.0,暂无发行公司,暂无制片公司
企鹅公路 ペンギン・ハイウェイ,石田祐康,"上田诚,森见登美彦","北香那,苍井优,钉宫理惠,潘惠美,福井美树,能登麻美子,久野美咲,西岛秀俊,竹中直人",动画,117,2019,7.8,0.0,暂无发行公司,暂无制片公司
加油！好男儿2007,东方卫视,"井柏然,乔任梁,付辛博,张殿菲,张超,扎西顿珠,闫安,李易峰,王睿,柏栩栩","井柏然,乔任梁,付辛博,张殿菲,张超,扎西顿珠,闫安,李易峰,王睿,柏栩栩",音乐,120,2007,8.0,0.0,暂无发行公司,暂无制片公司
猩球崛起3：终极之战 War for the Planet of the Apes,马特·里夫斯,"马特·里夫斯,马克·鲍姆贝克,里克·杰法,阿曼达·斯尔沃,皮埃尔·布尔","安迪·瑟金斯,伍迪·哈里森,斯蒂夫·扎恩,卡琳·考诺娃,阿米尔·米勒,泰瑞·诺塔里,泰·奥尔森,迈克尔·亚当思韦特,托比·凯贝尔,加布里埃尔·查瓦里亚,朱迪·格雷尔,莎拉·坎宁,德文·达尔顿,阿莱克斯·潘诺维奇,亚历桑德罗·朱利安尼,马克斯·洛伊德-琼斯,蒂莫西·韦伯",剧情,140,2017,6.9,0.0,暂无发行公司,暂无制片公司
巴黎圣母院 Notre Dame de Paris,让·德拉努瓦,让·奥朗什,"吉娜·罗洛布里吉达,安东尼·奎恩,让·达奈,阿兰·居尼,罗伯特·赫希,丹妮尔·杜蒙,菲利普·克莱,毛里斯·萨尔法蒂,吉恩·蒂西耶,瓦伦丁·特西尔,雅克·黑林,雅克·迪菲约,罗热·布兰,玛丽安·奥斯瓦尔德,罗兰·贝利",剧情,115,1956,8.0,0.0,暂无发行公司,暂无制片公司
少年黄飞鸿,杨亚洲,方明珠,"释小龙,郝蕾,陈龙,何中华,吕丽萍,吴樾,李鹏飞",动作,120,2002,7.7,0.0,暂无发行公司,暂无制片公司
蝴蝶效应3：启示 The Butterfly Effect 3: Revelations,塞斯·格罗斯曼,Holly Brix,"克里斯·卡马克,蕾切尔·敏纳,Melissa Jones",剧情,90,2009,6.7,0.0,暂无发行公司,暂无制片公司
牧马人,谢晋,李凖,"朱时茂,丛珊,刘琼,牛犇,雷仲谦,奇梦石",剧情,99,1982,8.8,0.0,暂无发行公司,暂无制片公司
魔女 마녀,朴勋政,朴勋政,"金多美,赵敏修,朴熙顺,崔宇植,高敏诗,吴美姬,崔政宇,多恩,金秉玉,李柱元,金河娜,李基英,权泰元,李时勋 ,白承哲,袁民奎,金宗勋,徐翰洁",动作,125,2018,7.6,0.0,暂无发行公司,暂无制片公司
玛丽娜·阿布拉莫维奇：艺术家在场 Marina Abramović: The Artist Is Present,马修·艾克斯,"玛丽娜·阿布拉莫维奇,乌雷,Klaus Biesenbach,David Balliano,Chrissie Iles,Arthur Danto,大卫·布雷恩,詹姆斯·弗兰科,拉什卡·伯格曼,Ashton Swinford","玛丽娜·阿布拉莫维奇,乌雷,Klaus Biesenbach,David Balliano,Chrissie Iles,Arthur Danto,大卫·布雷恩,詹姆斯·弗兰科,拉什卡·伯格曼,Ashton Swinford",纪录片,106,2012,8.8,0.0,暂无发行公司,暂无制片公司
