电影名,导演,编剧,演员,上映时间,片长,类型,评分
十月的天空 October Sky,乔·庄斯顿,"Lewis Colick,小霍默·H·希卡姆","杰克·吉伦哈尔,克里斯·库珀,劳拉·邓恩,克里斯·欧文,威廉姆·李·斯科特,查德·林德伯格,娜塔莉.苏珊娜.加奈尔黛,斯科特·迈尔斯",1999-02-19(美国),108分钟,剧情,8.7
速度与激情4 Fast & Furious,林诣彬,"克里斯·摩根,盖瑞·斯科特·汤普森","范·迪塞尔,保罗·沃克,米歇尔·罗德里格兹,乔丹娜·布鲁斯特,盖尔·加朵,约翰·奥提兹,拉兹·阿隆索,谢伊·惠格姆,莉萨·拉皮拉,姜成镐,格雷格·西佩斯",2009-04-15(中国大陆),107 分钟,动作,7.8
弦动我心 Music of the Heart,韦斯·克雷文,Pamela Gray,"梅丽尔·斯特里普,克萝丽丝·利奇曼,安吉拉·贝塞特,艾丹·奎因,乔什·帕斯",1999-10-29,124 分钟,剧情,8.0
叶卡捷琳娜大帝 第一季 Екатерина,玛丽娜·亚历山德罗娃,暂无编剧信息,"玛丽娜·亚历山德罗娃,尤利娅·奥格,亚历山大·亚森科,弗拉基米尔·缅绍夫,康斯坦丁·拉夫罗年科,Aleksandr Lazarev,林奈·穆罕默托夫",2014-11-24(俄罗斯),暂无电影时长,传记,8.5
星球大战前传3：西斯的复仇 Star Wars: Episode III - Revenge of the Sith,乔治·卢卡斯,乔治·卢卡斯,"伊万·麦克格雷格,娜塔莉·波特曼,海登·克里斯滕森,伊恩·麦克迪阿梅德,塞缪尔·杰克逊,吉米·斯密茨,弗兰克·奥兹,安东尼·丹尼尔斯,克里斯托弗·李,凯莎·卡斯特-休伊斯,西拉斯·卡森,布鲁斯·斯宾斯,韦恩·佩格拉姆,特穆拉·莫里森",2005-05-20(中国大陆),140分钟,动作,8.4
归来,张艺谋,邹静之,"陈道明,巩俐,张慧雯,郭涛,刘佩琦,祖峰,闫妮,辛柏青,张嘉译,陈小艺,丁嘉丽,张庭菲",2014-05-16(中国大陆),111分钟,剧情,7.9
与狼共舞 Dances with Wolves,凯文·科斯特纳,迈克尔·布雷克,"凯文·科斯特纳,玛丽·麦克唐纳,格雷厄姆·格林",1990-11-21,181 分钟,剧情,8.9
萍踪侠影,何群,"梁羽生,李天泽,李辉,黄永辉","范冰冰,黄海冰,孙浩,韩雪,孙菲菲,张嘉译,达式常,申军谊,毛宁,寇占文,孙晨曦,曹培昌,孔琳,许还幻,卓凡,姬他,何琳,徐锦江,马精武,谢宁,王岗,于荣光,释小龙,王德顺,康凯,黄晓明,张国立,沙景昌,吕行,赵小锐,陈凯,李强,王文升,王劲松,郭刚,梁超,张惠中,德力格尔,洋光,张梓烈,郭伟,赵熠伟,耿歌,梁雅琦,陈福生,刘建,张熙,管寿义,王培祎,马佳,杨丽晓",暂无上映时间,暂无电影时长,武侠,7.2
行动目标希特勒 Valkyrie,布莱恩·辛格,"克里斯托弗·麦奎里,Nathan Alexander","汤姆·克鲁斯,肯尼思·布拉纳,比尔·奈伊,汤姆·威尔金森,卡里斯·范·侯登,托马斯·克莱舒曼,特伦斯·斯坦普,艾迪·伊扎德,凯文·麦克纳利,克里斯蒂安·贝克尔,杰米·帕克,戴维·鲍姆伯,汤姆·霍兰德,David Schofield,肯尼思·库兰汉姆",2009-02-28(中国大陆),121分钟,剧情,7.1
关原之战 関ヶ原,原田真人,"原田真人,司马辽太郎","冈田准一,役所广司,有村架纯,平岳大,东出昌大,北村有起哉,伊藤步,中岛书,音尾琢真,松角洋平,和田正人,木村绿子,泷藤贤一,中越典子,坛蜜,西冈德马,松山研一,磨赤儿,春海四方,堀部圭亮,三浦诚己",2017-08-26(日本),149分钟,历史,7.1
三只小猪 Three Little Pigs,伯特·吉列特,Boris V. Morkovin,"比利·布莱彻,品托·考维格,Dorothy Compton,Mary Moder",1933-05-27(美国),暂无电影时长,喜剧,7.7
哔哩哔哩2019拜年祭,超然,暂无编剧信息,暂无演员信息,2019-02-04(中国大陆),188分钟,喜剧,8.1
模仿游戏 The Imitation Game,莫滕·泰杜姆,"格拉汉姆·摩尔,安德鲁·霍奇斯","本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪,罗里·金奈尔,艾伦·里奇,马修·比尔德,查尔斯·丹斯,马克·斯特朗,詹姆斯·诺斯科特,汤姆·古德曼-希尔,史蒂芬·威丁顿,伊兰·古德曼,杰克·塔尔登,埃里克斯·劳瑟,杰克·巴农,塔彭丝·米德尔顿,安德鲁·哈维尔,维尔·博登,李·阿斯奎斯-柯,海莉·乔安妮·培根,安库塔·布雷班,格雷斯·卡尔德,理查德·坎贝尔,温斯顿·丘吉尔,克里斯·考林,汉娜·弗林,阿道夫·希特勒,卢克·霍普,斯图尔特·马修斯,亚当·诺威尔,哈里·S·杜鲁门",2015-07-21(中国大陆),114分钟,剧情,8.7
再次出发之纽约遇见你 Begin Again,约翰·卡尼,约翰·卡尼,"凯拉·奈特莉,马克·鲁弗洛,亚当·莱文,詹姆斯·柯登,海莉·斯坦菲尔德,凯瑟琳·基纳,茅斯·达夫,罗伯·莫洛,伊恩·布罗茨基,香农·沃尔什,大卫·埃伯利斯,马科·阿桑特,玛丽·凯瑟琳·歌瑞森,詹·雅各布,席洛·格林,詹妮弗·李·杰克逊,特里·刘易斯,吉米·帕伦博,西蒙·德兰尼,丹妮尔·布里瑟布瓦,基恩·鲁弗洛,尼古拉斯·丹尼尔·冈萨雷斯,麦迪·科尔曼,阿雅·卡什,大卫·彭德尔顿,保罗·罗梅罗,安德鲁·塞伦,凯伦·皮特曼,罗恩·沃斯",2015-06-26(中国大陆),104分钟,喜剧,8.5
蜂鸟特攻 Hummingbird,斯蒂文·奈特,斯蒂文·奈特,"杰森·斯坦森,阿加塔·布泽克,薇琪·麦克卢尔,本尼迪克特·王,盖·莱恩,优素福·凯尔科尔,安东尼·莫里斯,维多利亚·贝维克,克里斯蒂安·布拉辛顿,丹尼·韦伯,Sang Lui,Bruce Wang,大卫·布拉德利,希欧布罕·休莱特,Steven Beard,杰森·王,艾德·高根,伊恩·皮里,Sheng-Chien Tsai,约瑟夫·阿尔京,米歇尔·李,约瑟夫·朗,Andrew Ellis,李·阿斯奎斯-柯,保罗·布莱克维尔,史蒂文·博里,蒂利亚纳·布克丽瓦,贝恩·科拉科,克里斯·考林,李·尼古拉斯·哈里斯,理查德·赫德曼,李镇男,马汀·麦格,丹尼斯·圣图奇,森内姆·特米兹",2014-05-09(中国大陆),90分钟(中国大陆),剧情,6.4
入殓师 おくりびと,泷田洋二郎,小山薰堂,"本木雅弘,广末凉子,山崎努,吉行和子,笹野高史,余贵美子",2008-09-13(日本),130 分钟,剧情,8.8
伊夫圣罗兰传 Yves Saint Laurent,加里·勒斯培,"Marie-Pierre Huster,加里·勒斯培,雅克·菲耶斯基,Laurence Benaïm,耶利米·古埃兹,Yann Apperry","皮埃尔·尼内,圭洛姆·加里尼,夏洛特·勒·邦,劳拉·斯梅特,Marie de Villepin,尼科莱·金斯基,鲁本·阿尔维斯,Astrid Whettnall,玛丽安娜·巴斯莱,Jean-Édouard Bodziak,阿德琳·戴尔米,艾克萨维尔·拉菲特,菲利普·莫里尔-热努,安娜·阿尔瓦罗,帕特里斯·蒂博,杰拉德·拉缇戈,安妮可·克里斯蒂安斯,贝诺提·吉欧斯,珍妮·丹多伊,桑德利娜·布兰琪,Nicolas Ronchi,克里斯蒂安·加斯,安妮克·阿斯克渥德,朱迪·比彻,Rani Bheemuck,艾琳诺拉斯寇",2014-01-08(法国),105分钟,爱情,6.6
杨门女将之八妹游春,袁英明,"郑怀兴,郑宜庸,王莉芝","郑佩佩,李若彤,李绮虹,连凯,徐敏",暂无上映时间,90分钟,剧情,7.4
电车魔女2 Tokyo Train Girls 2: Supervixen,Tadashi Kyouya,"Han Heitard,Bobby White","霞理沙,Minori Majokoro,Rei Misaki,Kyôsuke Sasaki,Makoto Tanaka",2008-12-26(日本),暂无电影时长,剧情,5.0
最长的一天 The Longest Day,肯·安纳金,"科尔内留斯·瑞安,罗曼·加里,詹姆斯·琼斯,David Pursall,Jack Seddon","理查德·伯顿,肖恩·康纳利,亨利·方达,约翰·韦恩,莱德·巴顿斯",1962-10-04,178 分钟,剧情,8.5
凤梧洞战斗 봉오동 전투,元新渊,千真友,"柳海真,柳俊烈,赵宇镇,朴智焕,崔有华,北村一辉,崔岷植,池内博之",2019-08-07(韩国),135分钟,剧情,6.3
杀死比尔2 Kill Bill: Vol. 2,昆汀·塔伦蒂诺,"昆汀·塔伦蒂诺,乌玛·瑟曼","乌玛·瑟曼,大卫·卡拉丁,刘家辉,薇薇卡·福克斯,刘玉玲,迈克尔·马德森,达丽尔·汉纳,塞缪尔·杰克逊,佩拉·哈莉-贾德林,迈克尔·帕克斯,克拉克·米德尔顿",2004-04-08(洛杉矶首映),137分钟,动作,8.0
婚姻的起源 결혼의 기원,民决,安秉灿 尹善进 梁永驱,安秉灿 尹善进 梁永驱,暂无上映时间,暂无电影时长,剧情,4.4
陈情令,郑伟文,"杨夏,邓窅瑜,马竞,郭光韵","肖战,王一博,孟子义,宣璐,于斌,汪卓成,刘海宽,李若彤,陆剑民,黄子腾,修庆,胡小庭,李玉峰,朱赞锦,王皓轩,纪李,王翌舟,宋继扬,李泊文,曹煜辰,漆培鑫,郑繁星,郭丞,贺鹏,卢蒽洁,王艺霏,陈卓璇,曹峻祥,张净桐,冯茗惊,姚书豪,冯聪,刘庭羽,汪融,孙晟轩,贾舒夷,刘道民,冯麒诺,杜帅杰,牛志强,蔡迎春,尹建祥,刘胤君,姜奕廷,林宸锐,苏雅馨,叶轩彤,陈俊凯,沈毅峯,黄振宸,林辰唏,苏秋逸,江嘉维,朴长城,张野,徐晓文,金璐莹,张静,刘潇杉,樊华伟,苏月,于子宽,张彬,张琳然,李橹进,沈鑫,焦长顺,刘凤民,孙亮,黄英",2019-06-27(中国大陆),暂无电影时长,剧情,7.7
