电影名,导演,编剧,演员,上映时间,片长,类型,评分
舞出我人生2：街舞 Step Up 2: The Streets,朱浩伟,"托妮安约翰森,Karen Barna","布莱恩娜·伊维根,罗伯特·霍夫曼,亚当·G·瑟瓦尼,凯茜·温图拉,丹妮尔·柏兰科,Christopher Scott",2010-05-21(中国大陆),98 分钟,剧情,7.3
纽伦堡的审判 Judgment at Nuremberg,斯坦利·克雷默,阿比·曼,"斯宾塞·屈塞,伯特·兰卡斯特,理查德·威德马克,玛琳·黛德丽,马克西米连·谢尔,朱迪·加兰,蒙哥马利·克利夫特,维尔纳·克伦佩雷尔",1961-12-14,186分钟,剧情,9.1
快乐中国毕业歌会 毕业歌会,刘伟,"何炅,谢娜,李维嘉,吴昕,杜海涛,梁田,刘烨,陈翔,王一博,程潇,韩雪,杨宗纬,张凯丽,张可盈,赵雷,尹正,魏大勋,马思超,鞠婧祎,马雪阳,周洁琼,刘泳希,李诺,鲁照华,孟美岐,吴宣仪,杨超越,段奥娟,Yamy,赖美云,张紫宁,杨芸晴,李紫婷,傅菁,徐梦洁,张杰,唐庆蓉,王力宏,翟天临,沈月,费启鸣,李兰迪,胡先煦","何炅,谢娜,李维嘉,吴昕,杜海涛,梁田,刘烨,陈翔,王一博,程潇,韩雪,杨宗纬,张凯丽,张可盈,赵雷,尹正,魏大勋,马思超,鞠婧祎,马雪阳,周洁琼,刘泳希,李诺,鲁照华,孟美岐,吴宣仪,杨超越,段奥娟,Yamy,赖美云,张紫宁,杨芸晴,李紫婷,傅菁,徐梦洁,张杰,唐庆蓉,王力宏,翟天临,沈月,费启鸣,李兰迪,胡先煦",2018-06-24(中国大陆),暂无电影时长,音乐,暂无电影评分
机械师 The Machinist,布拉德·安德森,斯科特·考萨,"克里斯蒂安·贝尔,詹妮弗·杰森·李,艾塔娜·桑切斯-希洪,约翰·沙拉恩,迈克尔·艾恩塞德,小拉里·吉拉德,雷格·E·凯蒂,安娜·玛西,马修·罗梅罗·摩尔,罗伯特·朗,科林·斯廷顿,克雷格·史蒂文森,弗兰·拉奥斯",2004-01-18(圣丹斯电影节),101分钟,剧情,7.6
着魔 Possession,安德烈·祖拉斯基,"安德烈·祖拉斯基,弗雷德里克·塔滕","伊莎贝尔·阿佳妮,山姆·尼尔,玛吉特·卡斯滕森,莱斯利·马尔顿,海因茨·贝能特,约翰娜·霍费尔,卡罗尔·杜瑞,肖恩·劳顿,马克西米利安·露丝莱恩,托马斯·弗雷",1981-05-25(戛纳电影节),124分钟,剧情,7.8
新世界 신세계,朴勋政,朴勋政,"李政宰,崔岷植,黄政民,宋智孝,朴圣雄,金秉玉,金胤成",2013-02-21(韩国),134分钟,剧情,8.8
银魂 銀魂,高松信司,"大和屋晓,横手美智子,下山健人,隅泽克之,空知英秋","杉田智和,阪口大助,钉宫理惠,中井和哉,铃村健一,小林优,雪野五月,太田哲治,石田彰,高松信司,子安武人,山崎巧,清水理沙,茶风林",2006-04-04(日本),暂无电影时长,喜剧,9.6
左右情缘 左右情緣,张国荣,张国荣,"张国荣,邱淑贞,张柏芝,梅艳芳,谭咏麟,曾志伟,吴君如,张学友",1999-10-10(中国香港),66分钟,剧情,8.3
我不是潘金莲,冯小刚,刘震云,"范冰冰,郭涛,大鹏,张嘉译,于和伟,张译,李宗翰,赵立新,田小洁,范伟,高明,刘桦,黄建新,李晨",2016-11-18(中国大陆),140分钟,剧情,6.7
关云长,麦兆辉,"麦兆辉,庄文强","甄子丹,姜文,孙俪,方中信,李宗翰,赵柯,王学兵,钱小豪,邵兵,董勇,王柏杰",2011-04-26(中国大陆),110分钟,动作,4.9
五至七时的克莱奥 Cléo de 5 à 7,阿涅斯·瓦尔达,阿涅斯·瓦尔达,"科琳娜·马尔尚,安托万·布尔塞耶,多米妮克·达夫雷,多萝泰·布兰克,米歇尔·勒格朗,约瑟·路易斯·德·维拉龙卡,卢瓦·帕扬,Renée Duchateau,吕西安娜·马尔尚,塞吉·科波尔,让-吕克·戈达尔,安娜·卡里娜",1962-04-11(法国),90 分钟,剧情,8.6
死寂逃亡 The Silence,约翰·R·莱昂耐迪,"凯莉·凡·戴克,肖恩·范·戴克,蒂姆·雷柏","斯坦利·图齐,琪兰·席普卡,米兰达·奥图,凯特·特罗特,约翰·考伯特,凯尔·布瑞特科夫,邓普斯·布瑞克,比利·麦克莱伦,Chris Whitby,Barbara Gordon,Zoe Doyle,Cory O'Brien,Alex Hatz,Gregory Waters,萨拉·阿伯特,泰勒·拉芙",2019-08-30(中国大陆),90分钟,恐怖,5.3
屏住呼吸 Don't Breathe,费德·阿尔瓦雷兹,"费德·阿尔瓦雷兹,罗多·赛亚格斯","史蒂芬·朗,简·拉维,迪兰·明奈特,丹尼尔·祖瓦图,艾玛·博科维奇,弗兰西斯卡·托朗西斯科,克里斯蒂安·泽吉亚,卡提亚·波克,瑟吉·诺普科,奥利维亚·吉尔斯,丹娜·克拉克",2016-03-12(西南偏南电影节),88分钟,惊悚,7.1
小王子 Le Petit Prince,马克·奥斯本,"伊连娜·布里纳尔,鲍勃·佩尔西凯蒂,安东尼·德·圣-埃克苏佩里","杰夫·布里吉斯,麦肯吉·弗依,瑞秋·麦克亚当斯,瑞利·奥斯本,詹姆斯·弗兰科,玛丽昂·歌迪亚,本尼西奥·德尔·托罗,保罗·路德,艾伯特·布鲁克斯,巴德·库特,瑞奇·热维斯,保罗·吉亚玛提,杰奎·巴恩布鲁克,马塞尔·布里奇斯,杰菲·布莱尼恩",2015-10-16(中国大陆),108分钟,动画,8.2
寻找小糖人 Searching for Sugar Man,马利克·本德杰鲁,"马利克·本德杰鲁,Stephen 'Sugar' Segerman,Craig Bartholomew Strydom","Stephen 'Sugar' Segerman,罗德里格斯,马利克·本德杰鲁,Dennis Coffey,Mike Theodore,Dan DiMaggio,Jerome Ferretti,Steve Rowland,Willem Möller,Craig Bartholomew Strydom,Ilse Assmann,Steve M. Harris",2012-07-26(英国),86分钟,纪录片,9.1
和平饭店 和平飯店,韦家辉,韦家辉,"周润发,叶童,秦豪,刘洵,吴倩莲,刘晓彤,李兆基,鲁芬",1995-04-12,89 分钟,动作,7.7
雪宝的冰雪大冒险 Olaf's Frozen Adventure,凯文·迪特斯,"克里斯·巴克,珍妮弗·李,雅克·舍费尔","克里斯汀·贝尔,伊迪娜·门泽尔,乔什·加德,乔纳森·格罗夫,玛格·卡拉·苏西",2017-11-22(美国),21分钟,动画,7.9
使命召唤6：现代战争2 真人版 第二部 Modern Warfare: Frozen Crossing part2,Corridor Digital,暂无编剧信息,暂无演员信息,2010-06-08,暂无电影时长,剧情,7.7
BIGBANG MADE 빅뱅 메이드,边振浩,"权志龙,东永裴,崔胜铉,姜大声,李昇炫","权志龙,东永裴,崔胜铉,姜大声,李昇炫",2016-06-30(韩国),114分钟,纪录片,8.9
小红帽 Red Riding Hood,凯瑟琳·哈德威克,David Johnson,"阿曼达·塞弗里德,加里·奥德曼,卢卡斯·哈斯,比利·伯克,维吉妮娅·马德森,希罗·弗南德兹,迈克尔·山克斯,朱莉·克里斯蒂,马克斯·艾恩斯,迈克尔·霍根",2011-03-11(美国),100分钟,剧情,5.7
奇怪的她 수상한 그녀,黄东赫,"申东益,洪允贞,董熹璇,黄东赫","沈恩京,罗文姬,朴仁焕,李阵郁,郑振永,成东日,金秀贤",2014-01-22(韩国),124分钟,喜剧,8.3
去他*的世界 第二季 The End of the F***ing World Season 2,戴斯特尼·埃卡拉加,"查理·科维尔,查尔斯·S·福斯曼","杰西卡·巴登,埃里克斯·劳瑟,娜奥米·阿基,史蒂夫·奥拉姆,克里斯汀·博顿利,乔纳森·阿里斯,乔什·迪伦,蒂姆·凯,布朗温·詹姆斯,佩特逊·约瑟夫,杰克·维尔,亚历山大·莱利,凯莉·哈里森,佛罗伦萨·贝尔",2019-11-04(英国),暂无电影时长,剧情,9.2
爱情理论 ทฤษฎีจีบเธอ,X Nuttapong Mongkolsawas,"巴特潘·忽栓,钟朋·阿卢迪吉朋,那瓦·蓬朴提岸,皮拉帕·瓦塔纳汕西瑞","巴特潘·忽栓,钟朋·阿卢迪吉朋,那瓦·蓬朴提岸,皮拉帕·瓦塔纳汕西瑞",2019-06-01(泰国),暂无电影时长,剧情,8.6
准备好了没 Ready or Not,马特·贝蒂内利-奥尔平,"盖伊·比尤西克,R. Christopher Murphy","萨玛拉·维文,安迪·麦克道威尔,马克·奥布莱恩,亚当·布罗迪,亨利·科泽尼,妮基·瓜达尼,梅兰妮·斯科洛凡诺,克里斯蒂安·布鲁恩,伊利斯 莱韦斯克,约翰·拉尔斯顿,达妮埃拉·巴博萨,伊拉娜·盖尔,安德鲁·安东尼",2019-08-21(美国),95分钟,悬疑,6.7
风骚律师 第四季 Better Call Saul Season 4,明基·斯皮罗,"文斯·吉里根,皮特·古尔德,托马斯·施纳泽,戈登·史密斯,希瑟·马里恩,安·彻基斯,詹妮弗·哈金森,艾莉森·塔特洛克","鲍勃·奥登科克,乔纳森·班克斯,蕾亚·塞洪,帕特里克·法比安,迈克尔·曼多,吉安卡罗·埃斯波西托,蒂娜·帕克,马克·马戈利斯,凯瑞·康顿,斯蒂芬·卡皮契奇",2018-08-06(美国),暂无电影时长,剧情,9.5
控制,毕国智,毕国智,"吴彦祖,姚晨,任达华,戴立忍,安以轩,邵兵,惠英红,冯嘉怡,郝柏杰,王馨平,孙佳君",2013-11-22(中国大陆),92分钟,动作,5.8
女巫 The VVitch: A New-England Folktale,罗伯特·艾格斯,罗伯特·艾格斯,"安雅·泰勒-乔伊,拉尔夫·伊内森,凯特·迪基,哈维·斯克林肖,艾丽·格兰杰,卢卡斯·道森,朱利安·瑞钦斯,芭丝谢芭·加内特,莎拉·史蒂文森,丹尼尔·马力克",2015-10-12(伦敦电影节),92分钟,恐怖,6.9
敢死队2 The Expendables 2,西蒙·韦斯特,"西尔维斯特·史泰龙,理查德·温克,大卫·阿戈斯托,肯恩·考夫曼","西尔维斯特·史泰龙,杰森·斯坦森,李连杰,余男,查克·诺瑞斯,尚格·云顿,布鲁斯·威利斯,阿诺·施瓦辛格,泰瑞·克鲁斯,兰迪·库卓,利亚姆·海姆斯沃斯,斯科特·阿金斯,杜夫·龙格尔,诺瓦克·德约科维奇,查瑞丝玛·卡朋特",2012-09-04(中国大陆),103分钟(美国),动作,6.9
衣橱 클로젯,金光彬,金光彬,"河正宇,金南佶",2020-02-05(韩国),97分钟,恐怖,5.5
地球停转之日 The Day the Earth Stood Still,斯科特·德瑞克森,"大卫·斯卡尔帕,埃德蒙·H·诺思","基努·里维斯,詹妮弗·康纳利,贾登·史密斯,约翰·克立斯,凯西·贝茨,罗伯特·克耐普",2008-12-12(美国),104 分钟,剧情,5.8
乞丐皇帝传奇 乞丐皇帝傳奇,梁凯程,梁凯程,"杨丽菁,何家劲,李志希,天心,宋达民,苏忆菁,丁仰国",1998,暂无电影时长,武侠,7.2
三体之灵魂危机,陈雷,"田爽,孙良君,左安娜,小阳光","田爽,孙良君,左安娜,小阳光",暂无上映时间,60分钟,惊悚,2.8
黄昏的清兵卫 たそがれ清兵衛,山田洋次,"山田洋次,朝间义隆,藤泽周平","真田广之,宫泽理惠,小林稔侍,大杉涟,吹越满,深浦加奈子,神户浩,草村礼子,吉田宪二,山崎贵,中村梅雀,赤冢真人,樱井千里,北山雅康,尾美利德,田中泯,岸惠子,丹波哲郎",2002-11-02(日本),129分钟,剧情,8.8
陆小凤传奇之大金鹏王,邓衍成,于淼,"张智霖,张智尧,何润东",2007-01-17(中国大陆),107分钟,动作,7.6
元气少女缘结神 新婚篇 神様はじめました 神様、幸せになる,大地丙太郎,"大地丙太郎,铃木朱丽叶塔","三森铃子,立花慎之介,冈本信彦,岸尾大辅,松井菜樱子,佐藤聪美,清水香里,森久保祥太郎,石田彰",2016-12-20,12分钟,爱情,9.3
护送钱斯 Taking Chance,罗斯·卡兹,"罗斯·卡兹,Michael Strobl","凯文·贝肯,萨拉·汤普森,佩姬-图柯,汤姆·奥尔德里奇,尼古拉斯·亚特,布兰奇·贝克",2009-01-16,78分钟,剧情,8.2
泪痕剑,李路,古龙,"焦恩俊,蔡少芬,王辉,常铖,汤钧禧,高露,张晋",暂无上映时间,暂无电影时长,剧情,8.0
侠骨柔情 My Darling Clementine,约翰·福特,"萨姆·海尔曼,萨缪尔·G·恩格尔,斯图尔特·N·雷克","亨利·方达,琳达·达内尔,维克多·迈彻,卡茜·当斯,沃尔特·布伦南,提姆·霍尔特,沃德·邦德,阿兰·莫布雷,约翰·爱尔兰,罗伊·罗伯茨,简·达威尔,格兰特·威瑟斯,J·法瑞尔·麦克唐纳,拉塞尔·辛普森",1946-12-03(美国),97分钟,剧情,7.9
你好，再见 Ciao,陈俊彦,"亚历山德罗·卡萨,陈俊彦","查克 布劳姆,亚当·尼尔·史密斯,Ethel Lung,John S. Boles,Margaret Lake,Tiffany Vollmer,Angela Gerardo,亚历山德罗·卡萨,Clementina Plasencia,Carla Adami,Shelley Fisher,Autumn Antal,弗雷德里克·安东尼,Myrtle Andrews,Cole D. Croghan",2008-12-05,87分钟,剧情,8.1
异形 Alien,雷德利·斯科特,"丹·欧班农,罗纳德·舒塞特","西格妮·韦弗,汤姆·斯凯里特,维罗尼卡·卡维特,哈利·戴恩·斯坦通,约翰·赫特,伊安·霍姆,亚非特·科托,博拉吉·巴迪乔,海伦·霍顿",1979-05-25(美国),117分钟,科幻,8.2
御法度,大岛渚,"大岛渚,司马辽太郎","松田龙平,北野武,武田真治,浅野忠信,崔洋一,的场浩司,北村雅英,伊武雅刀,神田宇野,吉行和子,田口智朗,桂玉木,坂上二郎",1999-12-18,100 分钟,剧情,7.4
再过四年 Fyra år till,托娃·马格努松,Wilhelm Behrman,"伯恩·谢尔曼,埃里克·埃里克森,亞當·隆格倫 Adam Lundgren,托娃·马格努松,André Wickström,斯坦·伦格伦",2010-11-06(瑞典),87分钟,剧情,8.2
关山飞渡 Stagecoach,戈登·道格拉斯,"达德利·尼柯尔斯,欧内斯特·海科克斯,约瑟夫·兰登","Ann-Margret,莱德·巴顿斯",1966-09-02,115 分钟,西部,7.5
我的团长我的团,康洪雷,兰晓龙,"段奕宏,张译,张国强,邢佳栋,李晨,曹海涛,刘威葳,高峰,罗京民,王往,王大治,范雷,王迅,王东栋,刘天佐,谢孟伟,左腾云,赵志君,王大奇,袁菲,江奇翰,李泓良,杜建桥,张衡平,宿宇杰,马云,何杰,白恩,柯志凌,曹操,吴有才,哈斯其其格,史航,邓宝,陈思诚,张衍,李京,杨在景,李博,刁海明,兰晓龙",2009-03-05(中国大陆),暂无电影时长,历史,9.4
俄罗斯方舟 Русский ковчег,亚历山大·索科洛夫,Anatoli Nikiforov,"谢尔盖·德雷登,Mariya Kuznetsova,Valery Gergiev",2002-11-08,99 分钟,剧情,7.6
蝙蝠侠 Batman,蒂姆·波顿,"Sam Hamm,沃伦·斯卡伦,鲍勃·凯恩","迈克尔·基顿,杰克·尼科尔森,金·贝辛格,罗伯特·乌尔,帕特·亨格尔,比利·迪·威廉姆斯,迈克尔·高夫,杰克·帕兰斯,杰瑞·霍尔,崔西·沃特,李·华莱士,威廉·胡特金斯,Richard Strange,卡尔·蔡斯,麦克·麦克唐纳德",1989-06-23,126 分钟,动作,7.4
武林外史,梦继,陈曼玲,"黄海冰,王艳,朱宏嘉,张棪琰,史可,程思寒,薛文成,卓凡,戴春荣,王建新,李倩,万弘杰,杨俊毅,张晋,崔哲铭",2001,暂无电影时长,爱情,7.5
独家记忆 Snapshots,梅勒妮·梅隆,"贾恩·米勒·科伦,凯瑟琳·科尔特斯","派珀·劳瑞,布瑞特·迪尔,布鲁克·亚当斯,艾米丽·芭尔多尼,艾米丽·高斯,香农·克里斯,马克斯·阿德勒,凯茜·德博诺,沙纳·萨林",2018-03-03(Cinequest电影节),95分钟,剧情,7.9
地下幻灯剧画 少女椿 地下幻燈劇画 少女椿,絵津久秋,原田浩,"松井良彦,中美奈子,森下纪彦,林和义,野村欣史,加藤早苗",1992-05-02(日本),49分钟,剧情,7.8
2020湖南卫视跨年演唱会,陈歆宇,"王一博,易烊千玺,王源,王俊凯,秦海璐,谭咏麟,王嘉尔,齐豫,张碧晨,吴亦凡,黄子韬,刘涛,腾格尔,陈友,钟镇涛,彭健新,叶智强,王晨艺,姚明明,李汶翰,胡春阳,夏瀚宇,管栋,陈宥维,嘉羿,李振宁,钱正昊,赵磊,翟潇闻,何洛洛,刘也,夏之光,周震南,任豪,姚琛,焉栩嘉,赵让,张颜齐,华晨宇,林俊杰,马天宇,刘宇宁,杨超越,孟美岐,张紫宁,徐梦洁,李紫婷,杨芸晴,段奥娟,Yamy,赖美云,傅菁,吴宣仪,马嘉祺,丁程鑫,宋亚轩,刘耀文,张真源,严浩翔,贺峻霖,大张伟,李锐,何炅,谢娜,李维嘉,杜海涛,沈梦辰,吴昕,汪涵,钱枫,梁田,俞灏明,张翰","王一博,易烊千玺,王源,王俊凯,秦海璐,谭咏麟,王嘉尔,齐豫,张碧晨,吴亦凡,黄子韬,刘涛,腾格尔,陈友,钟镇涛,彭健新,叶智强,王晨艺,姚明明,李汶翰,胡春阳,夏瀚宇,管栋,陈宥维,嘉羿,李振宁,钱正昊,赵磊,翟潇闻,何洛洛,刘也,夏之光,周震南,任豪,姚琛,焉栩嘉,赵让,张颜齐,华晨宇,林俊杰,马天宇,刘宇宁,杨超越,孟美岐,张紫宁,徐梦洁,李紫婷,杨芸晴,段奥娟,Yamy,赖美云,傅菁,吴宣仪,马嘉祺,丁程鑫,宋亚轩,刘耀文,张真源,严浩翔,贺峻霖,大张伟,李锐,何炅,谢娜,李维嘉,杜海涛,沈梦辰,吴昕,汪涵,钱枫,梁田,俞灏明,张翰",2019-12-31(中国大陆),260分钟,歌舞,5.5
珍妮的婚礼 Jenny's Wedding,Mary Agnes Donoghue,Mary Agnes Donoghue,"凯瑟琳·海格尔,汤姆·威尔金森,格蕾丝·古默,琳达·伊蒙,阿丽克西斯·布莱德尔,Cathleen O'Malley",2015-07-31(美国),94分钟,喜剧,7.0
非常嫌疑犯 The Usual Suspects,布莱恩·辛格,克里斯托弗·麦奎里,"史蒂芬·鲍德温,加布里埃尔·伯恩,本尼西奥·德尔·托罗,凯文·波拉克,凯文·史派西,查兹·帕尔明特瑞,皮特·波斯尔思韦特,苏茜·爱米斯,吉安卡罗·埃斯波西托,丹·哈达亚,保罗·巴特尔,卡尔·布瑞斯勒,菲力浦·西蒙,杰克·希勒,克里斯汀·艾斯布鲁克",1995-01-25(圣丹斯电影节),106分钟,剧情,8.6
笑林小子2：新乌龙院 笑林小子2：新烏龍院,朱延平,"朱延平,焦雄健","郝劭文,释小龙,吴孟达,张卫健,元华,李名炀,叶全真",1994-07-21(中国香港),90 分钟,喜剧,7.8
Bounty Law,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,暂无演员信息,暂无上映时间,暂无电影时长,剧情,暂无电影评分
细雨作乐 Under the Rain,诺尔·亚历杭德罗,诺尔·亚历杭德罗,"Valentin Braun,Anteo Chara,Markus Reid,Enki Babylon",2019-11-29(德国),32分钟,剧情,6.4
艺术家奉万大 아티스트 봉만대,奉万大,奉万大,"奉万大,郭贤花,成恩,任弼星",2013-08-29(韩国),102分钟,剧情,4.7
今夜呼叫我 Call Me トゥナイト,岡本達也,岡本達也,"玉川纱己子,鳥海勝美,神代智恵,关俊彦,辻村真人",1986-07-28(日本),30分钟,动画,5.8
恶魔的艺术2：邪降 ลองของ,Pasith Buranajan,"Kongkiat Khomsiri,Yosapong Polsap,Art Thamtrakul","娜帕克帕发·纳克普拉西特,哈泰万·恩甘苏坎普西,Akarin Siwapornpitak,Chanida Suriyakompon",2005-12-01(泰国),100分钟,恐怖,7.5
辛德勒的名单 Schindler's List,史蒂文·斯皮尔伯格,"托马斯·肯尼利,斯蒂文·泽里安","连姆·尼森,本·金斯利,拉尔夫·费因斯,卡罗琳·古多尔,乔纳森·萨加尔,艾伯丝·戴维兹,马尔戈萨·格贝尔,马克·伊瓦涅,碧翠斯·马科拉,安德烈·瑟韦林,弗里德里希·冯·图恩,克齐斯茨托夫·拉夫特,诺伯特·魏塞尔",1993-11-30(华盛顿首映),195分钟,剧情,9.5
群星会,李力持,梁咏梅,"夏雨,温兆伦,何婉盈,郑少秋,刘德华,陈玉莲,周星驰,吴孟达,万梓良,关礼杰,刘松仁,张卫健,朱江,郭富城,李司棋",1992-10-18(中国香港),90分钟,剧情,6.8
游园惊梦 遊園驚夢,杨凡,杨凡,"王祖贤,宫泽理惠,吴彦祖,赵志刚,陈克宇,富恒智",2001-04-06(中国香港),122分钟,剧情,7.6
重金摇滚双面人 デトロイト・メタル・シティ,李斗士男,"若杉公德,大森美香","松山研一,加藤罗莎,秋山竜次,细田善彦,大仓孝二,冈田义德,鈴木一馬,高桥一生,美波,松雪泰子,Adeyto,鲇贝健,加藤谅,宫崎美子",2008-08-23(日本),104分钟,剧情,7.2
一个美国人在巴黎 An American in Paris,文森特·明奈利,艾伦·杰伊·勒纳,"吉恩·凯利,莱斯莉·卡伦,奥斯卡·黎凡特,乔治斯·古特利,尼娜·弗彻",1951-08-26(伦敦首映),113分钟,剧情,7.0
考死2：教学实习 고사 두 번째 이야기: 교생실습,刘善东,"黄正音,池昌旭,金秀路,南宝拉,朴恩斌,朴智妍,孙浩俊,尹胜雅,尹施允","黄正音,池昌旭,金秀路,南宝拉,朴恩斌,朴智妍,孙浩俊,尹胜雅,尹施允",2010-07-28(韩国),84分钟,恐怖,5.5
"卧虎藏龙：青冥宝剑 Crouching Tiger, Hidden Dragon: Sword of Destiny",袁和平,"约翰·福斯克,王度庐","甄子丹,杨紫琼,岑勇康,刘承羽,李截,原丽淇,吴青芸,袁之正,陈钰芸,朴云龙,关永扬,吴育刚,张舒雅",2016-02-19(中国大陆),103分钟,剧情,4.8
一起同过窗 第二季,毕鑫业,"毕鑫业,梅琼宇","武雨泽,徐晓璐,庞瀚辰,李若嘉,于翔,应岱臻,慈婉彤,丁翔南,李川",2017-11-30(中国大陆),暂无电影时长,剧情,8.9
怪形 The Thing,约翰·卡朋特,"比尔·兰卡斯特,小约翰·W·坎贝尔","库尔特·拉塞尔,威尔福德·布利姆雷,TK·卡特,大卫·科列侬,凯斯·大卫,理查德·戴萨特,查尔斯·哈拉汉,Peter Maloney,理查德·马苏尔,唐纳德·莫法特,乔尔·波利斯,托马斯沃特斯,诺伯特·魏塞尔,拉瑞·弗兰科,纳特·欧文,阿德里安娜·巴比欧,约翰·卡朋特,杰德",1982-06-25,109 分钟,科幻,7.9
舞力对决 StreetDance 3D,马科斯·吉瓦,简·英格丽史,"妮可拉·伯利,理查德·温瑟,宇韦尔利·罗奇,弗兰克·哈珀,乔治·山普森,夏洛特·兰普林,伊莲诺·布罗,帕特里克·巴拉迪,蕾切尔·麦克道威尔,斯蒂芬妮·阮,杰瑞米·席菲德,乔丹·朗,乔斯林·杰·艾森,亚凯·奥赛,詹森·弗里曼,Teneisha Bonner,Lex Milczarek,Kofi Agyemang,Hugo Cortes,Sianad Gregory,Jennifer Leung,Mark Tristan Eccles",2011-09-08(中国大陆),98分钟(英国),爱情,6.8
碧血剑 碧血劍,张彻,"倪匡,张彻","郭追,文雪儿,江生,井莉,龙天翔",1981-03-06,Hong Kong: 104 分钟,剧情,6.6
南山的部长们 남산의 부장들,禹民镐,"禹民镐,李智敏","李秉宪,李星民,郭度沅,李熙俊,金素真,徐贤宇,朴智一,李泰亨,金昇勋,金明善 ,朴成根,郑钟宇,金民尚,周锡泰,成民秀,赵惠珠,孙炳旭,朴炫宇,严志满,柳正浩",2020-01-22(韩国),114分钟,剧情,8.1
英雄,张艺谋,"李冯,张艺谋,王斌","李连杰,梁朝伟,张曼玉,章子怡,陈道明,甄子丹",2002-12-19(中国大陆/香港),93分钟(中国大陆),剧情,7.4
鬼影 ชัตเตอร์ กดติดวิญญาณ,班庄·比辛达拿刚,"班庄·比辛达拿刚,Sopon Sukdapisit","阿南达·爱华灵咸,娜特慧兰·塔美,阿西塔·西卡玛娜,Unnop Chanpaibool,Titikarn Tongprasearth,Sivagorn Muttamara,Chachchaya Chalemphol,Kachormsak Naruepatr,Apichart Chusakul,Binn Kitchachonpong,Panitan Mavichak,Samruay Jaratjaroonpong,Jitlada Korsangvichal,Duangporn Sontikhan,Panu Puntoomsinchal",2004-09-09(泰国),97 分钟,悬疑,7.7
极品飞车 Need for Speed,斯科特·沃,"乔治·盖汀斯,约翰·盖汀斯","亚伦·保尔,达科塔·约翰逊,伊莫琴·普茨,迈克尔·基顿,多米尼克·库珀,拉米·马雷克,瑟·梅杰尔,卡迪小子,哈里森·吉尔伯特森,尼克·齐兰德,卡梅拉·孙巴多,拉蒙·罗德里格兹,史蒂文·韦格,利比·布兰顿,贾登·亚历山大",2014-03-14(美国/中国大陆),130分钟,剧情,7.2
被光抓走的人,董润年,董润年,"黄渤,王珞丹,谭卓,白客,黄璐,文淇,焦俊艳,宋春丽,李嘉琪,丁溪鹤,吕星辰,黄觉,李倩,王菊,李诞,金靖承,曹炳琨,张腾岳,田壮壮,刘頔",2019-12-13(中国大陆),131分钟,剧情,7.0
生命是个奇迹 Живот је чудо,埃米尔·库斯图里卡,"埃米尔·库斯图里卡,兰科·波兹克","斯拉夫科·斯提马科,娜塔莎·塔普什科维奇,乌克·科斯蒂奇,亚力克斯桑德·贝奇科,米尔亚娜·卡拉诺维奇,维斯娜切瓦里克,尼古拉·科约,达沃尔·贾尼奇,达娜托多罗维茨,温内莎格拉丘",2004-05-14,154分钟,剧情,8.7
夜行动物 Nocturnal Animals,汤姆·福特,"汤姆·福特,奥斯丁·赖特","艾米·亚当斯,杰克·吉伦哈尔,迈克尔·珊农,亚伦·泰勒-约翰逊,艾拉·菲舍尔,艾丽·巴姆博,艾米·汉莫,卡尔·格洛斯曼,罗伯特·阿拉马约,劳拉·琳妮,安德丽娅·赖斯伯勒,麦克·辛,伊莫金·沃特豪斯,弗兰科·维嘉,吉娜·马隆",2016-09-02(威尼斯电影节),116分钟,剧情,7.4
一个母亲的复仇 Mom,拉维·德耶瓦尔,"吉里什·科赫利,拉维·德耶瓦尔","诗丽黛玮,阿克夏耶·坎纳,萨佳·阿里,阿德南·西德奎,纳瓦祖丁·席迪圭",2019-05-10(中国大陆),146分钟,剧情,6.8
美景之屋：美味的性 전망 좋은 방 - 맛있는 섹스,이세일,"강유키,이경민","강유키,이경민",2012-12-19(韩国),55分钟,爱情,3.8
咒怨2 呪怨2,清水崇,清水崇,"酒井法子,葛山信吾,水木薫,堀江庆,市川由衣,新山千春,斋藤步",2003-05-16(戛纳电影节),92 分钟,恐怖,7.4
真爱不死 第三季 Santa Clarita Diet Season 3,马克·巴克兰德,维克多·弗斯克,"德鲁·巴里摩尔,蒂莫西·奥利芬特,丽芙·休森,斯凯勒·吉桑多,玛丽·伊丽莎白·埃利斯,娜塔丽·莫瑞丝,乔纳森·斯莱文,艾伦·图代克,托马斯·列农,雷蒙娜·杨,伊桑·苏普利,多米尼克·伯吉斯,斯蒂芬·福尔,琳达·拉文,玛吉·劳森,高兰·维斯耶克",2019-03-29(美国),暂无电影时长,喜剧,8.9
K歌情人 Music and Lyrics,马克·劳伦斯,马克·劳伦斯,"休·格兰特,德鲁·巴里摩尔,斯科特·波特,布拉德·加内特,海莉·贝内特",2007-02-14(美国),96 分钟(美国),喜剧,7.5
今生是第一次 이번 생은 처음이라,朴俊和,尹兰中,"李民基,郑素敏,朴秉恩,李絮,金玟锡,金佳恩,金秉玉,黄锡晶,金善映,金应洙,尹斗俊,尹普美,文喜京,尹素熙,金旻奎,李清娥",2017-10-09(韩国),暂无电影时长,剧情,8.5
