"_id",MovieName,MovieId,RealTimeBox,SumBoxOffice,MovieFxAll,MovieZz
5e7defe2eb2be994dd1562e8,大块头有大智慧,254,0.0,1401.5,"中国星电影有限公司 China Star Film Co.,Ltd /星美传媒集团有限公司 Stellar Megamedia Group Co., LTD/星美（北京）影业有限公司 Stellar Mega Films Limited","中国星电影有限公司 China Star Film Co.,Ltd / One Hundred Years of Film Company/银河映像（香港）有限公司 Milky Way Image（Hongkong)）Co.,Ltd/星美传媒集团有限公司 Stellar Megamedia Group Co., LTD"
5e7defe2eb2be994dd1562e9,苏州少年横漂记,662591,0.0,1.6,"中国电影集团公司 China Film Group Corporation/江苏儒美影视文化传媒有限公司 /江苏国春文化艺术有限公司 /重庆星泽汇影视文化传媒有限公司 /重庆巴唐文化传媒有限公司 ","江苏儒美影视文化传媒有限公司 /南通英雄电影策划有限公司 Nantong Hero Film Plan Co.,Ltd "
5e7defe2eb2be994dd1562ea,草原英雄小姐妹,594465,0.0,1.6,"谷泰映画(北京)影视文化传媒有限公司 Gutaiyinghua Media Co.,Ltd","长影集团有限责任公司 Changchun Film Group /呼和浩特市西迪文化传播有限责任公司 "
5e7defe2eb2be994dd1562eb,爱情碰碰撞,618963,0.0,1.6,"北京国韵思娱文化传媒有限公司 Beijing Guoyun Siyu Media  Co.,Ltd","北京华影金孔雀文化传媒有限公司 Beijing Huaying Golden Peacock Media  Co.,Ltd/北京鼎龙盛世文化传媒有限公司 Beijing Dinglong Shengshi Media Co.,Ltd"
5e7defe2eb2be994dd1562ec,咱们分手吧,629438,0.0,1.6,"北京虹合品尚文化传媒有限公司 Beijing Honghe Pinshang Media Co.,Ltd","甘肃会师影视文化传媒有限公司 Gansu Huishi Entertainment Co.,Ltd   "
5e7defe2eb2be994dd1562ed,天之恩赐,616234,0.0,1.6,,
5e7deffdeb2be994dd1562ee,我们村的女当家,594418,0.0,1.6,,"抚州市鸿文文化传媒有限公司 Fuzhou Hongwen Media Co.,Ltd"
5e7deffdeb2be994dd1562ef,女大学生宿舍,562435,0.0,1.6,,上海电影制片厂 Shanghai Film Studio
5e7deffdeb2be994dd1562f0,守望女,612311,0.0,1.6,,中国新闻社湖北分社 China News Agency Hubei Branch
5e7deffdeb2be994dd1562f1,那树繁花,677993,0.0,1.5,,"北京义广星嘉影视文化传媒有限公司 Beijing YiDa star Jia Film ＆ TV Media Co.,Ltd"
5e7deffdeb2be994dd1562f2,菊豆,756,0.0,1.5,米拉麦克斯 Miramax Films,中国电影合作制片公司 China Film Co-Production Corporation/中国电影输出输入公司 China Film Release Import and Export Company/德间书店 Tokuma Shoten/西安电影制片厂有限公司 Xian Film Studio
5e7deffdeb2be994dd1562f3,大破天门阵,669430,0.0,1.5,"北京瑞博阳光文化传播有限公司 Beijing Ruibo Yangguang Media Co.,Ltd","朔州市壬甲影视文化传媒有限公司 Shuozhou Renjia Entertainment Co.,Ltd/北京动音乐扬文化传播有限公司 Beijing Dongyin Yueyang Media Co.,Ltd"
5e7deffdeb2be994dd1562f4,合欢树,610572,0.0,1.5,,
5e7deffdeb2be994dd1562f5,恋爱101度,652778,0.0,1.5,"北京东方同庆文化传媒有限公司 Beijing Dongfang Tong Qing culture media Co., Ltd","中视金策（北京）文化产业发展有限公司 /汕尾市中视艺翔文化传媒有限公司 /北京东方同庆文化传媒有限公司 Beijing Dongfang Tong Qing culture media Co., Ltd"
5e7deffdeb2be994dd1562f6,布达拉宫,560610,0.0,41.5,"华夏电影发行有限责任公司 Huaxia Film Distribution Co.,Ltd",
